5/1/2021 10:21:36 PM /Shop/customers/2
 5/1/2021 10:24:30 PM /Shop/customers/2
 5/1/2021 10:26:41 PM ShopAPI.Controllers.ShopController.GetUser (ShopAPI)
 5/1/2021 10:27:19 PM ShopAPI.Controllers.ShopController.GetAllusers (ShopAPI)
 5/1/2021 10:48:54 PM ShopAPI.Controllers.ShopController.GetAllcustomers (ShopAPI)
 5/1/2021 10:49:55 PM ShopAPI.Controllers.ShopController.UpdateCustomer (ShopAPI)
 5/1/2021 11:01:39 PM ShopAPI.Controllers.ShopController.UpdateCustomer (ShopAPI)
 5/1/2021 11:09:39 PM ShopAPI.Controllers.ShopController.UpdateCustomer (ShopAPI)
 5/1/2021 11:18:16 PM ShopAPI.Controllers.ShopController.UpdateCustomer (ShopAPI)
 5/1/2021 11:20:53 PM ShopAPI.Controllers.ShopController.GetCustomer (ShopAPI)
 5/1/2021 11:47:21 PM ShopAPI.Controllers.ShopController.GetAllcustomers (ShopAPI)
 5/6/2021 1:12:56 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/6/2021 1:13:37 PM ShopAPI.Controllers.ShopController.GetAllcustomers (ShopAPI)
 5/6/2021 1:14:34 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/6/2021 1:14:45 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/6/2021 1:15:09 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/6/2021 1:15:16 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/6/2021 1:16:27 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/6/2021 1:23:27 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/6/2021 1:23:44 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/6/2021 1:24:21 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/6/2021 1:26:22 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/6/2021 1:26:28 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/6/2021 1:26:56 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/6/2021 1:30:12 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/6/2021 1:30:18 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/6/2021 1:31:12 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/6/2021 1:31:21 PM ShopAPI.Controllers.OrdersController.GetOrder (ShopAPI)
 5/6/2021 1:31:33 PM ShopAPI.Controllers.OrdersController.GetOrder (ShopAPI)
 5/6/2021 1:46:57 PM ShopAPI.Controllers.OrdersController.GetOrder (ShopAPI)
 5/6/2021 1:54:02 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/6/2021 1:58:38 PM ShopAPI.Controllers.OrdersController.GetOrder (ShopAPI)
 5/6/2021 2:04:20 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/6/2021 2:05:15 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/6/2021 2:08:08 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/6/2021 2:14:28 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/6/2021 2:14:47 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/6/2021 2:15:11 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/6/2021 2:19:51 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/6/2021 2:20:04 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/6/2021 2:20:44 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/6/2021 2:20:54 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/6/2021 2:21:28 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
